epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4284,3.20263,5.219,10.124,2.08599,0.00014,0.07807,8e-05,2e-05,7e-05,0.04089,4e-05,1e-05,3.40434,5.14542,7.79824,2.34388,0.00062,0.00062,0.00062
2,43.8385,2.93648,4.58676,6.55721,1.88495,0.0005,0.28067,0.00034,0.0001,0.00012,0.06877,7e-05,1e-05,2.82521,6.71491,4.58906,2.07261,0.00125376,0.00125376,0.00125376
3,61.999,2.81924,4.48117,5.11996,1.82887,0.00011,0.06134,6e-05,1e-05,0,0,0,0,4.27709,75.3764,4.53726,3.29577,0.00188119,0.00188119,0.00188119
4,79.6386,2.85655,4.39977,4.53263,1.79504,0.00011,0.06134,6e-05,1e-05,0,0,0,0,4.30546,482.334,5.57672,8.75144,0.0019703,0.0019703,0.0019703
5,100.277,2.8524,4.28385,4.30852,1.83656,0.07054,0.02974,0.01132,0.00348,0.0121,0.00743,0.00059,0.00011,2.77307,5.98867,5.34822,2.31456,0.0019604,0.0019604,0.0019604
6,119.489,2.77064,4.33355,3.97937,1.7695,0.00387,0.18959,0.00897,0.00307,0.00178,0.08736,0.00261,0.00043,2.90987,5.10443,4.29354,1.89836,0.0019505,0.0019505,0.0019505
7,138.795,2.71784,4.13048,3.68075,1.74725,0.13919,0.02602,0.0254,0.00718,0.08948,0.01673,0.00953,0.0015,2.89996,4.29567,3.47858,2.21141,0.0019406,0.0019406,0.0019406
8,158.575,2.68082,4.07099,3.59724,1.7354,0.2127,0.09491,0.06121,0.01851,0.18094,0.08171,0.0383,0.00832,2.67347,4.17924,3.36209,1.91,0.0019307,0.0019307,0.0019307
9,178.226,2.55856,3.99992,3.36182,1.69081,0.12851,0.10037,0.03396,0.01182,0.09995,0.07807,0.01986,0.00397,2.56742,4.16646,3.20788,1.81607,0.0019208,0.0019208,0.0019208
10,197.27,2.58279,4.00707,3.30596,1.71914,0.13866,0.02602,0.017,0.00768,0.14183,0.01115,0.01201,0.00199,2.93244,8.61251,4.08345,2.25066,0.0019109,0.0019109,0.0019109
11,216.623,2.53733,3.93926,3.28889,1.66197,0.16512,0.08676,0.04753,0.01662,0.16052,0.05204,0.03371,0.00763,2.45786,4.01125,3.66794,1.7523,0.001901,0.001901,0.001901
12,236.091,2.49644,3.90838,3.17321,1.66613,0.23166,0.0316,0.04118,0.0139,0.17715,0.02416,0.02909,0.00681,2.60665,3.93755,3.43674,1.79272,0.0018911,0.0018911,0.0018911
13,258.867,2.35493,3.85805,3.09024,1.64397,0.19754,0.15056,0.08055,0.02487,0.17071,0.13011,0.06013,0.01253,2.5293,3.83443,3.12072,1.8486,0.0018812,0.0018812,0.0018812
14,278.802,2.43522,3.83467,3.05014,1.63658,0.20055,0.11524,0.06958,0.02111,0.16704,0.09851,0.04792,0.01156,2.48638,3.76808,3.17783,1.67614,0.0018713,0.0018713,0.0018713
15,298.367,2.40834,3.77724,3.11955,1.59981,0.14405,0.0948,0.0536,0.0186,0.11863,0.07807,0.03466,0.00862,2.5106,4.23998,3.36153,1.67961,0.0018614,0.0018614,0.0018614
16,318.351,2.37031,3.72602,3.00119,1.61965,0.20661,0.09665,0.07266,0.02862,0.18097,0.08178,0.05545,0.01538,2.42459,4.13459,3.19446,1.68885,0.0018515,0.0018515,0.0018515
17,338.155,2.35555,3.69367,2.96811,1.57259,0.35319,0.10967,0.12165,0.04545,0.31128,0.09665,0.10081,0.02609,2.31559,3.69965,2.98876,1.61172,0.0018416,0.0018416,0.0018416
18,358.436,2.33958,3.64964,2.84667,1.58531,0.25651,0.18773,0.14622,0.05735,0.26231,0.16914,0.12932,0.03415,2.23789,3.66515,2.84295,1.65797,0.0018317,0.0018317,0.0018317
19,378.401,2.31529,3.64144,2.87268,1.56527,0.27297,0.16729,0.13737,0.04982,0.24835,0.13941,0.10453,0.02618,2.20163,3.60737,2.9044,1.60456,0.0018218,0.0018218,0.0018218
20,398.463,2.36375,3.72283,2.94061,1.59326,0.25002,0.16729,0.13496,0.05264,0.24616,0.1487,0.11321,0.02927,2.25305,3.68129,2.70776,1.6274,0.0018119,0.0018119,0.0018119
21,418.749,2.26322,3.57506,2.81199,1.53965,0.26996,0.18587,0.15115,0.06158,0.23261,0.16729,0.12667,0.03158,2.18448,3.4915,2.57036,1.56523,0.001802,0.001802,0.001802
22,438.907,2.24888,3.61589,2.83152,1.56626,0.26808,0.23978,0.18019,0.07441,0.24087,0.22305,0.16235,0.04369,2.12151,3.52792,2.53314,1.5686,0.0017921,0.0017921,0.0017921
23,458.981,2.22725,3.60772,2.69707,1.52272,0.30566,0.15613,0.14811,0.05763,0.28226,0.14312,0.13425,0.04127,2.14383,3.56435,2.84037,1.53832,0.0017822,0.0017822,0.0017822
24,479.126,2.21716,3.51358,2.71751,1.5299,0.25956,0.16543,0.12343,0.04842,0.23914,0.15242,0.10784,0.02763,2.28842,3.71851,2.98563,1.6844,0.0017723,0.0017723,0.0017723
25,499.78,2.21766,3.62197,2.70363,1.50034,0.29082,0.1803,0.1651,0.0645,0.28684,0.16357,0.14738,0.04159,2.11134,3.36778,2.65968,1.53075,0.0017624,0.0017624,0.0017624
26,520.21,2.18533,3.44659,2.62139,1.49351,0.34459,0.25605,0.21297,0.08358,0.32351,0.23555,0.18682,0.05195,2.12195,3.3623,2.43276,1.51948,0.0017525,0.0017525,0.0017525
27,540.265,2.21394,3.48647,2.68432,1.52179,0.40125,0.22491,0.21885,0.08889,0.38799,0.21747,0.20196,0.0582,2.10218,3.35467,2.60576,1.50823,0.0017426,0.0017426,0.0017426
28,560.662,2.16585,3.41009,2.63529,1.47002,0.32133,0.27138,0.21668,0.09205,0.32472,0.26022,0.20548,0.06082,2.13342,3.28795,2.47711,1.56963,0.0017327,0.0017327,0.0017327
29,580.67,2.17346,3.39261,2.70902,1.50605,0.33628,0.22677,0.17528,0.07061,0.33302,0.21747,0.16103,0.04243,2.10693,3.51221,2.58579,1.53734,0.0017228,0.0017228,0.0017228
30,600.886,2.13701,3.43649,2.51292,1.48808,0.38715,0.26419,0.22812,0.08904,0.37081,0.25836,0.21696,0.06693,2.0782,3.3937,2.32871,1.51966,0.0017129,0.0017129,0.0017129
31,620.996,2.15709,3.37675,2.47997,1.4373,0.34791,0.26394,0.21048,0.08496,0.33631,0.25279,0.20323,0.06268,2.04297,3.30245,2.45851,1.52426,0.001703,0.001703,0.001703
32,641.244,2.07287,3.34378,2.43756,1.45004,0.34054,0.29926,0.21406,0.08792,0.31593,0.27695,0.18661,0.05324,1.99191,3.28241,2.32187,1.4757,0.0016931,0.0016931,0.0016931
33,661.301,2.10461,3.37796,2.46539,1.47615,0.36911,0.27323,0.25771,0.11183,0.40331,0.25465,0.2458,0.08235,2.0122,3.15534,2.24947,1.47115,0.0016832,0.0016832,0.0016832
34,681.497,2.0192,3.32449,2.31653,1.42569,0.37784,0.31227,0.26834,0.12279,0.35451,0.30112,0.24702,0.07942,1.95616,3.125,2.21687,1.46769,0.0016733,0.0016733,0.0016733
35,701.523,2.04494,3.25946,2.35454,1.40654,0.36729,0.30297,0.28825,0.13068,0.35641,0.28101,0.26823,0.08933,2.03298,3.15156,2.18168,1.50457,0.0016634,0.0016634,0.0016634
36,721.615,2.04598,3.33224,2.33673,1.42887,0.36426,0.31524,0.28081,0.12955,0.35661,0.28846,0.26297,0.08551,1.92365,3.1362,2.18533,1.43958,0.0016535,0.0016535,0.0016535
37,741.802,1.98623,3.26884,2.25302,1.37889,0.37306,0.29182,0.26869,0.11808,0.35245,0.27138,0.24392,0.0816,1.94755,3.17343,2.21391,1.44932,0.0016436,0.0016436,0.0016436
