epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,761.888,2.03282,3.2509,2.35658,1.39592,0.45615,0.30112,0.34397,0.15866,0.44313,0.28996,0.3237,0.11364,1.87769,3.04767,2.29411,1.39133,0.0016337,0.0016337,0.0016337
39,782.189,2.04276,3.2558,2.36254,1.42364,0.454,0.34944,0.34546,0.14897,0.42468,0.33086,0.32223,0.10826,1.95858,3.0827,2.05246,1.47602,0.0016238,0.0016238,0.0016238
40,804.302,2.03131,3.17599,2.27169,1.4239,0.47189,0.34387,0.34091,0.15226,0.46494,0.33271,0.32417,0.10908,1.9531,3.02476,2.0278,1.44467,0.0016139,0.0016139,0.0016139
41,826.53,1.97646,3.15091,2.13735,1.36111,0.39692,0.2881,0.27205,0.11797,0.39705,0.26952,0.25169,0.08476,1.87975,3.05529,2.18329,1.42784,0.001604,0.001604,0.001604
42,846.255,1.9414,3.13869,2.13611,1.38679,0.47805,0.36431,0.3688,0.16001,0.43727,0.34201,0.33139,0.11681,1.90408,3.02297,2.15749,1.42383,0.0015941,0.0015941,0.0015941
43,866.427,1.95101,3.13097,2.1835,1.36435,0.43079,0.38476,0.34906,0.16589,0.42164,0.36803,0.32693,0.11004,1.89149,2.99282,1.97269,1.43737,0.0015842,0.0015842,0.0015842
44,888.461,1.95442,3.17762,2.17324,1.35699,0.48652,0.36803,0.35711,0.16344,0.4935,0.36617,0.35928,0.12572,1.83723,2.91324,2.23466,1.41257,0.0015743,0.0015743,0.0015743
45,907.893,1.95237,3.06019,2.13118,1.36397,0.54039,0.39219,0.39857,0.18489,0.53052,0.39033,0.38899,0.13377,1.83312,2.97174,1.92898,1.40888,0.0015644,0.0015644,0.0015644
46,926.776,1.85889,3.07569,2.03892,1.32143,0.43574,0.35502,0.32361,0.15195,0.41667,0.32156,0.28294,0.08795,1.91789,3.31678,2.18234,1.40047,0.0015545,0.0015545,0.0015545
47,945.965,1.94364,3.03909,2.10498,1.37485,0.50223,0.35316,0.37027,0.17486,0.50712,0.34201,0.36332,0.12648,1.8163,3.00701,1.92817,1.38937,0.0015446,0.0015446,0.0015446
48,965.154,1.86589,3.00711,1.9835,1.34122,0.53331,0.45456,0.45534,0.21523,0.51301,0.45167,0.44466,0.15662,1.74087,2.82072,1.78676,1.35004,0.0015347,0.0015347,0.0015347
49,984.052,1.7861,2.94346,2.12075,1.31111,0.51425,0.41324,0.42919,0.20405,0.50731,0.40767,0.40714,0.14299,1.79098,2.90873,1.88081,1.36492,0.0015248,0.0015248,0.0015248
50,1002.83,1.86577,3.09049,1.99951,1.31753,0.55229,0.44424,0.46393,0.233,0.58405,0.42937,0.45233,0.16909,1.73298,2.87035,1.72876,1.34486,0.0015149,0.0015149,0.0015149
51,1021.68,1.85218,3.01101,2.04155,1.35391,0.43904,0.3695,0.37179,0.18466,0.49177,0.32342,0.34981,0.11887,1.86414,2.97315,2.0015,1.39517,0.001505,0.001505,0.001505
52,1040.83,1.86199,3.07337,1.99238,1.33779,0.53492,0.43612,0.44931,0.21876,0.5258,0.42868,0.43609,0.15324,1.8014,2.98899,1.74517,1.39189,0.0014951,0.0014951,0.0014951
53,1060.25,1.77635,3.00137,1.81923,1.28604,0.55929,0.47884,0.49052,0.23218,0.56099,0.46468,0.47114,0.16695,1.79977,2.81735,1.78163,1.37513,0.0014852,0.0014852,0.0014852
54,1079.32,1.8501,3.02063,1.89739,1.30254,0.58853,0.47855,0.50512,0.25726,0.59609,0.45725,0.48578,0.17459,1.74552,2.88137,1.69588,1.35743,0.0014753,0.0014753,0.0014753
55,1099.06,1.8111,2.97053,1.85076,1.28575,0.54814,0.50929,0.50512,0.2667,0.52833,0.49344,0.48301,0.19039,1.66781,2.76229,1.61547,1.30589,0.0014654,0.0014654,0.0014654
56,1118.46,1.81532,2.96648,1.93255,1.33823,0.57562,0.50372,0.50751,0.26268,0.56288,0.49257,0.47769,0.18755,1.7112,2.84171,1.64743,1.32987,0.0014555,0.0014555,0.0014555
57,1137.57,1.76682,2.89629,1.85452,1.29159,0.53421,0.46259,0.4821,0.25902,0.52195,0.45725,0.46959,0.18581,1.6562,2.77192,1.68191,1.28838,0.0014456,0.0014456,0.0014456
58,1156.9,1.76334,2.88842,1.83107,1.28588,0.55921,0.47584,0.49989,0.26056,0.55019,0.47026,0.48649,0.18118,1.73641,2.85924,1.74544,1.32549,0.0014357,0.0014357,0.0014357
59,1176.45,1.79316,2.91312,1.80767,1.31704,0.56461,0.47955,0.49994,0.26315,0.55586,0.47212,0.48693,0.19087,1.62362,2.7899,1.65747,1.27057,0.0014258,0.0014258,0.0014258
60,1195.49,1.7676,2.83107,1.79531,1.28351,0.59127,0.52045,0.52531,0.27382,0.58195,0.51487,0.51545,0.20452,1.66736,2.74233,1.58295,1.29029,0.0014159,0.0014159,0.0014159
61,1214.6,1.73546,2.8923,1.72627,1.27975,0.52,0.4777,0.47583,0.24338,0.49932,0.45539,0.44956,0.16477,1.75481,2.86059,1.69268,1.34156,0.001406,0.001406,0.001406
62,1233.79,1.71624,2.95497,1.71261,1.28895,0.64946,0.50623,0.57172,0.31356,0.63926,0.47955,0.54336,0.21613,1.65363,2.74496,1.69518,1.28699,0.0013961,0.0013961,0.0013961
63,1253.15,1.71079,2.86179,1.64893,1.26455,0.69446,0.53655,0.60403,0.33232,0.67716,0.5223,0.58083,0.22406,1.61521,2.6659,1.46434,1.27125,0.0013862,0.0013862,0.0013862
64,1272.62,1.73433,2.82392,1.71041,1.27646,0.64674,0.52045,0.55711,0.2984,0.64351,0.50929,0.5501,0.22051,1.65344,2.66586,1.59437,1.30084,0.0013763,0.0013763,0.0013763
65,1291.71,1.6741,2.83053,1.60406,1.24832,0.55543,0.49628,0.52546,0.28225,0.55648,0.50186,0.52504,0.20261,1.6263,2.73275,1.59603,1.28519,0.0013664,0.0013664,0.0013664
66,1310.83,1.69307,2.77618,1.69175,1.2453,0.69316,0.57106,0.64052,0.36592,0.69933,0.55204,0.62234,0.23494,1.55232,2.67405,1.36478,1.23153,0.0013565,0.0013565,0.0013565
67,1330.14,1.72895,2.86658,1.67887,1.25773,0.56281,0.5316,0.53921,0.29098,0.54742,0.51301,0.51397,0.20179,1.65149,2.67794,1.59474,1.29429,0.0013466,0.0013466,0.0013466
68,1349.41,1.69298,2.81649,1.60827,1.23865,0.62089,0.54089,0.58583,0.31545,0.61589,0.50186,0.56333,0.2255,1.61902,2.67699,1.5874,1.26442,0.0013367,0.0013367,0.0013367
69,1368.87,1.64197,2.78634,1.58472,1.2153,0.57809,0.49814,0.52186,0.27628,0.54847,0.48513,0.49752,0.19427,1.65752,2.74596,1.68112,1.29044,0.0013268,0.0013268,0.0013268
70,1389.23,1.67563,2.82233,1.5837,1.23315,0.67299,0.48885,0.55086,0.28738,0.66331,0.47584,0.53514,0.19859,1.67594,2.72625,1.73805,1.28981,0.0013169,0.0013169,0.0013169
71,1409.22,1.66391,2.75629,1.63054,1.24746,0.70061,0.5855,0.65145,0.35905,0.67614,0.56506,0.62335,0.22552,1.54345,2.64173,1.37603,1.23055,0.001307,0.001307,0.001307
72,1429.37,1.62863,2.81151,1.53766,1.21215,0.75886,0.61896,0.6945,0.39881,0.75086,0.61152,0.67821,0.27018,1.49732,2.58271,1.28402,1.20466,0.0012971,0.0012971,0.0012971
73,1449.6,1.63155,2.69039,1.48665,1.23251,0.71129,0.58736,0.67957,0.38708,0.70548,0.57436,0.66943,0.28327,1.48482,2.54209,1.36833,1.19753,0.0012872,0.0012872,0.0012872
74,1469.58,1.64892,2.74035,1.58411,1.21981,0.76321,0.61708,0.69425,0.39648,0.75535,0.59111,0.6714,0.28139,1.51858,2.58734,1.2719,1.2273,0.0012773,0.0012773,0.0012773
75,1489.44,1.6055,2.73696,1.48119,1.21038,0.7241,0.58736,0.672,0.38146,0.7217,0.57435,0.65308,0.25287,1.54602,2.59438,1.29251,1.2301,0.0012674,0.0012674,0.0012674
76,1509.74,1.65464,2.72202,1.58322,1.22735,0.76008,0.65242,0.7201,0.41732,0.76248,0.65242,0.71608,0.30939,1.46772,2.50055,1.26033,1.18907,0.0012575,0.0012575,0.0012575
77,1529.9,1.65205,2.70989,1.57386,1.20972,0.67856,0.58464,0.63815,0.36421,0.67238,0.57983,0.62922,0.26425,1.52358,2.55064,1.39725,1.21124,0.0012476,0.0012476,0.0012476
78,1550.09,1.61616,2.71491,1.52693,1.19244,0.75906,0.59665,0.68143,0.38652,0.76118,0.59108,0.66045,0.28973,1.51506,2.56026,1.31324,1.2202,0.0012377,0.0012377,0.0012377
79,1570.36,1.61642,2.65,1.48432,1.21124,0.75071,0.68773,0.7478,0.43968,0.76217,0.66543,0.73229,0.32015,1.44609,2.42129,1.24114,1.18644,0.0012278,0.0012278,0.0012278
80,1590.51,1.57291,2.63503,1.48401,1.19028,0.75282,0.63383,0.72685,0.43286,0.75592,0.63321,0.71696,0.31964,1.44391,2.46043,1.13751,1.17908,0.0012179,0.0012179,0.0012179
81,1610.75,1.5389,2.66413,1.40192,1.18255,0.73199,0.65487,0.71075,0.41929,0.72397,0.64839,0.69793,0.29853,1.46133,2.52663,1.21011,1.19667,0.001208,0.001208,0.001208
82,1630.97,1.52582,2.66396,1.4445,1.18132,0.64594,0.63941,0.66537,0.39559,0.6437,0.62825,0.65982,0.29213,1.46042,2.44063,1.28843,1.19021,0.0011981,0.0011981,0.0011981
83,1651.01,1.58796,2.64748,1.39743,1.1901,0.79083,0.62454,0.71249,0.42692,0.77508,0.60851,0.69431,0.28992,1.43169,2.47271,1.22661,1.16841,0.0011882,0.0011882,0.0011882
84,1670.8,1.53834,2.67785,1.36589,1.16718,0.76671,0.70249,0.7665,0.47583,0.74921,0.68773,0.74932,0.33726,1.36108,2.39526,1.09288,1.12306,0.0011783,0.0011783,0.0011783
85,1691.21,1.54666,2.64391,1.39857,1.16727,0.81542,0.61524,0.70232,0.41472,0.8068,0.60409,0.6887,0.30328,1.44865,2.45425,1.28781,1.17248,0.0011684,0.0011684,0.0011684
86,1711.76,1.52433,2.66596,1.36589,1.17258,0.78208,0.71378,0.78149,0.48228,0.76668,0.69888,0.75702,0.32434,1.37266,2.42916,1.08379,1.1395,0.0011585,0.0011585,0.0011585
87,1731.93,1.52931,2.64952,1.34089,1.18585,0.79509,0.70818,0.78503,0.47954,0.79092,0.70446,0.77348,0.32487,1.37051,2.35913,1.0826,1.15219,0.0011486,0.0011486,0.0011486
88,1752.12,1.54318,2.67936,1.41571,1.15778,0.80309,0.71258,0.79675,0.47692,0.80196,0.70446,0.7933,0.34914,1.38745,2.37404,1.04788,1.14391,0.0011387,0.0011387,0.0011387
89,1771.94,1.55906,2.63568,1.37262,1.17263,0.81211,0.70818,0.79317,0.47898,0.82494,0.68319,0.78271,0.34889,1.39177,2.34006,1.06169,1.14565,0.0011288,0.0011288,0.0011288
90,1792.02,1.49821,2.62735,1.28692,1.13743,0.82901,0.7119,0.79879,0.48391,0.79775,0.70074,0.7767,0.30811,1.38067,2.40512,1.04132,1.13421,0.0011189,0.0011189,0.0011189
91,1811.97,1.52901,2.52119,1.29788,1.15957,0.82271,0.71375,0.79549,0.47368,0.81002,0.70446,0.78316,0.3468,1.39209,2.34131,1.04906,1.14628,0.001109,0.001109,0.001109
92,1831.96,1.52012,2.55874,1.26726,1.1457,0.87931,0.71375,0.81794,0.50711,0.87361,0.70818,0.80513,0.36935,1.32221,2.27034,1.00552,1.11256,0.0010991,0.0010991,0.0010991
93,1851.8,1.50808,2.5719,1.28606,1.14099,0.79697,0.72119,0.79152,0.48071,0.79397,0.71747,0.78612,0.35438,1.37765,2.34274,1.04523,1.13491,0.0010892,0.0010892,0.0010892
94,1871.74,1.53175,2.64379,1.31826,1.16687,0.85065,0.69874,0.81629,0.51328,0.83573,0.70818,0.80177,0.34603,1.31597,2.32298,0.98994,1.10904,0.0010793,0.0010793,0.0010793
95,1891.89,1.49438,2.56273,1.27468,1.14268,0.82193,0.78253,0.8351,0.53027,0.81941,0.77881,0.83072,0.37043,1.28778,2.28865,0.96637,1.09981,0.0010694,0.0010694,0.0010694
96,1912.11,1.45046,2.53167,1.18748,1.13091,0.82178,0.75423,0.83039,0.52704,0.83859,0.73234,0.82203,0.37066,1.29287,2.31076,0.93244,1.10496,0.0010595,0.0010595,0.0010595
97,1932.33,1.46334,2.54329,1.1733,1.12931,0.83073,0.74349,0.8177,0.50985,0.81185,0.71378,0.78547,0.34666,1.31185,2.29868,0.9752,1.11511,0.0010496,0.0010496,0.0010496
98,1952.41,1.46539,2.5046,1.20823,1.15496,0.84961,0.75606,0.83204,0.53909,0.84126,0.74862,0.81945,0.38033,1.26293,2.23011,0.94914,1.08457,0.0010397,0.0010397,0.0010397
99,1975.12,1.45878,2.54137,1.22283,1.12863,0.84558,0.74164,0.82025,0.51936,0.83922,0.73606,0.81309,0.39033,1.3333,2.25555,0.97739,1.12078,0.0010298,0.0010298,0.0010298
100,1995.02,1.41985,2.53628,1.21958,1.1269,0.88871,0.7119,0.83259,0.53897,0.87189,0.70839,0.81945,0.38261,1.27533,2.25832,0.97349,1.08782,0.0010199,0.0010199,0.0010199
101,2015.01,1.45308,2.52181,1.21953,1.1287,0.83073,0.73889,0.82741,0.53155,0.85447,0.7119,0.81938,0.37849,1.29551,2.26466,0.94371,1.09518,0.00101,0.00101,0.00101
102,2034.74,1.42823,2.39878,1.22032,1.12835,0.82929,0.75651,0.83124,0.52102,0.82503,0.75376,0.82337,0.4038,1.31138,2.21491,0.92627,1.10475,0.0010001,0.0010001,0.0010001
103,2054.78,1.43544,2.48038,1.19622,1.13036,0.85667,0.71099,0.8177,0.51959,0.84153,0.71067,0.81213,0.36472,1.28681,2.28991,0.96538,1.10073,0.0009902,0.0009902,0.0009902
104,2074.75,1.37589,2.46358,1.15739,1.094,0.87554,0.75465,0.84202,0.52937,0.85961,0.74907,0.82452,0.36955,1.30973,2.25688,0.8949,1.10845,0.0009803,0.0009803,0.0009803
105,2094.56,1.3989,2.49467,1.16068,1.1053,0.87826,0.75094,0.83327,0.54341,0.8719,0.74646,0.82568,0.37739,1.25586,2.24058,0.90584,1.09166,0.0009704,0.0009704,0.0009704
106,2114.4,1.419,2.51177,1.14233,1.11576,0.89001,0.76208,0.85527,0.5495,0.88133,0.75465,0.83811,0.38293,1.27695,2.24333,0.88758,1.08485,0.0009605,0.0009605,0.0009605
107,2134.18,1.42596,2.45613,1.19242,1.11698,0.85229,0.74349,0.83176,0.53658,0.84478,0.73606,0.82554,0.38171,1.27322,2.2015,0.93284,1.07572,0.0009506,0.0009506,0.0009506
108,2153.94,1.41658,2.43885,1.18866,1.09404,0.88043,0.76648,0.85536,0.56652,0.87616,0.76276,0.84658,0.41249,1.23299,2.16244,0.84431,1.06679,0.0009407,0.0009407,0.0009407
109,2173.75,1.4024,2.50603,1.10968,1.10692,0.88411,0.76766,0.86877,0.58105,0.87963,0.76022,0.8624,0.40731,1.19713,2.17118,0.83236,1.05363,0.0009308,0.0009308,0.0009308
110,2193.53,1.32251,2.36993,1.05399,1.07698,0.90437,0.77323,0.87305,0.5805,0.89785,0.76766,0.86462,0.4166,1.20938,2.13863,0.81428,1.06028,0.0009209,0.0009209,0.0009209
111,2213.55,1.32318,2.41581,1.09566,1.07792,0.8801,0.80496,0.86895,0.56781,0.87614,0.80204,0.86564,0.40028,1.22875,2.16742,0.82388,1.06223,0.000911,0.000911,0.000911
112,2233.9,1.36776,2.46193,1.08555,1.0901,0.90602,0.76022,0.86659,0.56835,0.89608,0.7533,0.85019,0.36231,1.22882,2.23852,0.85432,1.06621,0.0009011,0.0009011,0.0009011
113,2254.18,1.4292,2.40942,1.11982,1.11026,0.87005,0.82714,0.88183,0.58148,0.87201,0.829,0.88122,0.4147,1.20197,2.15889,0.87612,1.0504,0.0008912,0.0008912,0.0008912
114,2274.16,1.38015,2.44774,1.03831,1.08417,0.89694,0.79926,0.87777,0.5837,0.89224,0.80112,0.87562,0.43387,1.2027,2.13518,0.81285,1.05184,0.0008813,0.0008813,0.0008813
115,2294.35,1.37096,2.32326,1.08259,1.07433,0.84441,0.75651,0.8464,0.5413,0.84441,0.75651,0.84312,0.42284,1.26605,2.20031,0.89899,1.07832,0.0008714,0.0008714,0.0008714
116,2314.59,1.36819,2.39653,1.07984,1.09481,0.90321,0.81599,0.88794,0.5944,0.89563,0.79752,0.87543,0.40496,1.19396,2.16308,0.79686,1.05768,0.0008615,0.0008615,0.0008615
117,2334.44,1.35379,2.35759,1.05473,1.06719,0.89847,0.83457,0.89891,0.60542,0.88844,0.81418,0.87986,0.42395,1.1737,2.1648,0.7813,1.03804,0.0008516,0.0008516,0.0008516
118,2354.2,1.34318,2.46562,1.06254,1.08674,0.89676,0.8197,0.89078,0.60054,0.88896,0.81227,0.88223,0.43749,1.17683,2.1237,0.78994,1.04275,0.0008417,0.0008417,0.0008417
119,2373.97,1.26696,2.35085,0.99888,1.0475,0.91355,0.80532,0.89124,0.58499,0.90722,0.79974,0.88363,0.43788,1.19816,2.13716,0.77318,1.05089,0.0008318,0.0008318,0.0008318
120,2393.64,1.33113,2.34794,1.00498,1.07471,0.88406,0.80788,0.87309,0.57613,0.87389,0.79859,0.86424,0.41987,1.21151,2.1325,0.80107,1.05705,0.0008219,0.0008219,0.0008219
121,2413.35,1.34972,2.45974,1.04481,1.06052,0.90802,0.79926,0.88027,0.58403,0.89568,0.78625,0.86628,0.38343,1.18914,2.1432,0.78422,1.05754,0.000812,0.000812,0.000812
122,2433.57,1.33537,2.32348,1.02322,1.07321,0.92747,0.81599,0.89909,0.6093,0.91305,0.80023,0.87414,0.43194,1.1426,2.075,0.74494,1.03287,0.0008021,0.0008021,0.0008021
123,2453.37,1.31981,2.32685,1.00113,1.0584,0.94045,0.81413,0.90333,0.62532,0.91467,0.80855,0.89283,0.44004,1.13254,2.07764,0.72503,1.02718,0.0007922,0.0007922,0.0007922
124,2473.17,1.25973,2.32535,0.94951,1.04709,0.88934,0.83643,0.8935,0.60482,0.88744,0.82065,0.87832,0.41657,1.15069,2.10463,0.7525,1.03082,0.0007823,0.0007823,0.0007823
125,2493.1,1.34281,2.39211,1.05581,1.07097,0.94658,0.84572,0.90359,0.61728,0.93935,0.83482,0.89598,0.4625,1.15169,2.05391,0.73537,1.02555,0.0007724,0.0007724,0.0007724
126,2512.93,1.30862,2.3629,1.04135,1.06256,0.91106,0.81599,0.89495,0.61163,0.89026,0.81426,0.88164,0.4222,1.14441,2.13207,0.77537,1.03056,0.0007625,0.0007625,0.0007625
127,2532.86,1.32643,2.36313,1.02717,1.07912,0.92645,0.79554,0.89782,0.60375,0.9152,0.78625,0.87886,0.4424,1.13669,2.10132,0.76417,1.02851,0.0007526,0.0007526,0.0007526
128,2552.82,1.31191,2.3165,0.99217,1.05719,0.93697,0.82893,0.9056,0.62468,0.92725,0.82156,0.8923,0.44547,1.10531,2.06732,0.71844,1.01261,0.0007427,0.0007427,0.0007427
129,2572.31,1.28151,2.32273,0.99363,1.04979,0.93637,0.83643,0.90291,0.61651,0.91576,0.83271,0.88909,0.42853,1.12109,2.06418,0.7183,1.02192,0.0007328,0.0007328,0.0007328
130,2592.45,1.26289,2.31931,0.9564,1.06204,0.93622,0.83271,0.90025,0.61222,0.92995,0.82714,0.89708,0.43715,1.13162,2.04905,0.73859,1.03042,0.0007229,0.0007229,0.0007229
131,2612.11,1.25881,2.2884,0.99159,1.0614,0.92996,0.85502,0.91649,0.64196,0.92591,0.8513,0.91123,0.4641,1.08586,2.01643,0.68572,1.00263,0.000713,0.000713,0.000713
