epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3542,3.05889,5.01296,9.03909,1.99855,0.0002,0.10967,0.00011,3e-05,0.00011,0.06134,6e-05,1e-05,3.07301,4.5982,6.75571,2.24791,0.000656085,0.000656085,0.000656085
2,39.9818,2.94524,4.52865,6.18702,1.85185,0.00056,0.31041,0.00063,0.00028,0.00018,0.09851,0.00018,3e-05,2.85129,6.9564,4.28383,1.85897,0.00130966,0.00130966,0.00130966
3,57.9639,2.8675,4.40587,4.81158,1.81629,0.03291,0.05576,0.01253,0.00522,0.02753,0.04089,0.00971,0.00394,2.79074,4.90293,9.05338,2.09646,0.00195003,0.00195003,0.00195003
4,75.567,2.89401,4.36801,4.43294,1.8252,0.03801,0.01115,0.00242,0.00053,0.0012,0.12268,0.00095,0.00022,3.07646,5.21194,4.2444,1.95614,0.0019406,0.0019406,0.0019406
5,93.8615,2.75068,4.30026,4.0864,1.75527,0.03772,0.06134,0.00861,0.00216,0.02629,0.04275,0.00502,0.00093,2.73866,4.36704,3.81574,1.83243,0.0019208,0.0019208,0.0019208
6,111.871,2.79512,4.20793,3.94551,1.79562,0.10083,0.05204,0.02262,0.0086,0.09899,0.03903,0.01319,0.00277,2.71468,4.13679,3.46447,1.91304,0.001901,0.001901,0.001901
7,129.292,2.6892,4.10081,3.64043,1.67875,0.01682,0.34404,0.03274,0.01104,0.0195,0.1803,0.02337,0.0049,2.582,4.33568,3.74225,1.72397,0.0018812,0.0018812,0.0018812
8,146.989,2.70516,4.08265,3.59705,1.71389,0.19727,0.09665,0.05072,0.01604,0.15241,0.07993,0.03367,0.00673,2.50711,4.05836,3.28144,1.70342,0.0018614,0.0018614,0.0018614
9,164.855,2.63164,4.09673,3.52778,1.70591,0.00974,0.44424,0.03333,0.01299,0.00746,0.34015,0.01973,0.00409,2.60969,4.15351,3.66608,1.82465,0.0018416,0.0018416,0.0018416
10,182.644,2.57391,3.95001,3.48857,1.66931,0.20246,0.11152,0.06112,0.02359,0.18501,0.09665,0.05106,0.00987,2.44146,3.97364,3.19918,1.68174,0.0018218,0.0018218,0.0018218
11,200.778,2.58682,3.93609,3.45933,1.73848,0.20805,0.14684,0.08334,0.02703,0.16065,0.11338,0.05351,0.01285,2.44053,4.00221,3.19838,1.73002,0.001802,0.001802,0.001802
12,218.736,2.53176,3.86455,3.28951,1.68764,0.14841,0.1171,0.05643,0.01911,0.11753,0.09851,0.04164,0.00869,2.44259,3.91404,3.15114,1.71875,0.0017822,0.0017822,0.0017822
13,236.746,2.51825,3.85288,3.19178,1.66503,0.22484,0.16543,0.10036,0.03843,0.1783,0.12825,0.07137,0.01735,2.38076,3.83524,2.93359,1.72735,0.0017624,0.0017624,0.0017624
14,254.826,2.47265,3.92897,3.13014,1.68074,0.16963,0.16543,0.08503,0.03164,0.14195,0.15056,0.06768,0.01572,2.31772,3.74299,3.20454,1.63193,0.0017426,0.0017426,0.0017426
15,273.427,2.42497,3.7632,3.15784,1.58057,0.21606,0.15242,0.08688,0.03148,0.19867,0.12454,0.07364,0.02094,2.40399,3.76126,3.0347,1.69001,0.0017228,0.0017228,0.0017228
16,291.638,2.44897,3.91766,3.09946,1.59081,0.18971,0.16543,0.09585,0.03689,0.15293,0.14498,0.07179,0.01578,2.32086,3.73628,2.98329,1.63582,0.001703,0.001703,0.001703
17,309.719,2.45262,3.77696,3.11144,1.60577,0.24876,0.12125,0.11746,0.04265,0.21355,0.10409,0.09427,0.02387,2.31066,3.65411,2.91226,1.68457,0.0016832,0.0016832,0.0016832
18,328.843,2.31852,3.70933,2.94705,1.58769,0.2538,0.20074,0.13472,0.0523,0.26547,0.171,0.11154,0.0298,2.32026,3.69737,2.73681,1.66712,0.0016634,0.0016634,0.0016634
19,347.343,2.32572,3.67077,2.94824,1.55589,0.25398,0.13941,0.08774,0.03389,0.21673,0.11896,0.06355,0.01445,2.36608,3.97483,3.12687,1.65056,0.0016436,0.0016436,0.0016436
20,365.584,2.36232,3.7172,2.98712,1.57705,0.24587,0.19331,0.13443,0.05223,0.2318,0.19145,0.12064,0.03069,2.26843,3.53105,2.70252,1.67214,0.0016238,0.0016238,0.0016238
21,384.497,2.3339,3.55787,2.92604,1.59641,0.23981,0.23606,0.13921,0.05068,0.22339,0.21747,0.12175,0.03149,2.26105,3.49471,2.97909,1.64942,0.001604,0.001604,0.001604
