epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,402.775,2.28914,3.53309,2.88812,1.55635,0.29474,0.2012,0.15938,0.06063,0.28712,0.1803,0.14301,0.0406,2.19898,3.45011,2.8077,1.57019,0.0015842,0.0015842,0.0015842
23,421.046,2.26358,3.54958,2.79262,1.56052,0.28823,0.25215,0.19508,0.07427,0.26984,0.23606,0.17036,0.04577,2.14119,3.39402,2.48411,1.56954,0.0015644,0.0015644,0.0015644
24,438.993,2.19763,3.56024,2.83983,1.49542,0.21558,0.25093,0.14892,0.05828,0.22176,0.22305,0.13526,0.03882,2.1701,3.42315,2.51938,1.59912,0.0015446,0.0015446,0.0015446
25,457.383,2.23615,3.5442,2.70239,1.51939,0.30238,0.24535,0.18883,0.07942,0.28492,0.22662,0.16668,0.04721,2.08656,3.42031,2.522,1.50904,0.0015248,0.0015248,0.0015248
26,476.403,2.15909,3.47792,2.76641,1.50966,0.26262,0.21375,0.15122,0.06005,0.23931,0.19703,0.13046,0.03519,2.15572,3.47468,2.68532,1.63531,0.001505,0.001505,0.001505
27,495.226,2.14656,3.51473,2.70519,1.46121,0.31585,0.22397,0.17941,0.07118,0.29046,0.21375,0.15404,0.04176,2.20399,3.46697,2.57057,1.62409,0.0014852,0.0014852,0.0014852
28,513.864,2.20453,3.42899,2.65774,1.51362,0.28557,0.29926,0.20843,0.08469,0.27227,0.28439,0.18693,0.05233,2.04478,3.2849,2.40895,1.54269,0.0014654,0.0014654,0.0014654
29,532.555,2.10513,3.42476,2.53019,1.45907,0.35411,0.29368,0.25272,0.10984,0.34968,0.28067,0.24466,0.0765,2.02952,3.26096,2.24391,1.53301,0.0014456,0.0014456,0.0014456
30,551.444,2.0973,3.36404,2.58864,1.45742,0.33477,0.2273,0.2204,0.09227,0.30466,0.20685,0.19065,0.05834,1.99808,3.2564,2.52206,1.45908,0.0014258,0.0014258,0.0014258
31,570.408,2.06371,3.36071,2.47742,1.4317,0.29331,0.24349,0.21192,0.08509,0.25526,0.23792,0.19904,0.05545,1.99739,3.19888,2.35619,1.50161,0.001406,0.001406,0.001406
32,588.99,2.09348,3.29858,2.45201,1.4402,0.32903,0.29805,0.25117,0.09942,0.35881,0.26952,0.24038,0.07329,2.1015,3.20834,2.32236,1.5351,0.0013862,0.0013862,0.0013862
33,608.12,2.10167,3.33303,2.49543,1.45551,0.37822,0.33271,0.29812,0.13368,0.35299,0.32714,0.27096,0.0889,1.95688,3.23417,2.18989,1.44029,0.0013664,0.0013664,0.0013664
34,626.859,2.04894,3.3251,2.50494,1.44788,0.45724,0.23234,0.25385,0.11506,0.4399,0.21747,0.2374,0.07652,1.94381,3.30873,2.71142,1.43556,0.0013466,0.0013466,0.0013466
35,645.515,2.04269,3.32767,2.42254,1.40876,0.39063,0.36245,0.29843,0.12977,0.38556,0.34201,0.29514,0.10012,1.96355,3.09545,2.4329,1.49005,0.0013268,0.0013268,0.0013268
36,664.658,2.0263,3.33905,2.35706,1.40205,0.39533,0.29554,0.28008,0.11618,0.37296,0.27881,0.26573,0.08732,2.00363,3.16269,2.2578,1.46256,0.001307,0.001307,0.001307
37,683.251,2.03399,3.286,2.37349,1.41039,0.43428,0.38662,0.34509,0.14407,0.39252,0.34944,0.29807,0.0874,1.92287,3.1027,2.05405,1.41902,0.0012872,0.0012872,0.0012872
38,701.562,2.01845,3.27948,2.3186,1.42159,0.45108,0.38662,0.36785,0.1601,0.45073,0.37175,0.35573,0.12098,1.91237,3.03558,2.01157,1.4562,0.0012674,0.0012674,0.0012674
39,719.838,2.01458,3.26361,2.34266,1.40299,0.48103,0.36617,0.3659,0.16263,0.46264,0.36431,0.34902,0.12002,1.90129,3.03625,2.05259,1.41438,0.0012476,0.0012476,0.0012476
40,738.402,1.94906,3.13377,2.28704,1.40546,0.50837,0.33828,0.36412,0.1767,0.47538,0.3217,0.33911,0.11785,1.86119,3.02752,2.1864,1.40904,0.0012278,0.0012278,0.0012278
41,757.331,1.95539,3.13502,2.18139,1.37432,0.43752,0.36989,0.35551,0.16432,0.41215,0.35838,0.33596,0.11863,1.86314,2.95404,2.06344,1.40414,0.001208,0.001208,0.001208
42,776.227,1.93538,3.13352,2.2547,1.4061,0.4492,0.3829,0.38544,0.17277,0.41656,0.35316,0.3492,0.11945,1.87956,2.98905,2.04657,1.41484,0.0011882,0.0011882,0.0011882
43,794.828,1.95119,3.18615,2.28261,1.40854,0.44988,0.41636,0.38451,0.18558,0.45898,0.3753,0.35943,0.12466,1.77669,2.97011,1.95624,1.36711,0.0011684,0.0011684,0.0011684
44,814.501,1.90573,3.05794,2.09346,1.34721,0.48048,0.39538,0.39551,0.17871,0.4515,0.37638,0.36468,0.12466,1.87422,2.96946,1.9526,1.40016,0.0011486,0.0011486,0.0011486
45,834.015,1.92254,3.08191,2.10767,1.36111,0.50521,0.38848,0.40304,0.19391,0.47788,0.37732,0.38536,0.12758,1.80345,2.92532,1.8851,1.35284,0.0011288,0.0011288,0.0011288
46,859.77,1.87301,3.04439,2.04155,1.33652,0.61018,0.40706,0.46241,0.23504,0.58468,0.39405,0.43829,0.15209,1.72731,2.93502,1.79918,1.32274,0.001109,0.001109,0.001109
47,883.345,1.89154,3.08388,2.11357,1.35494,0.56561,0.45743,0.45178,0.21098,0.53896,0.44238,0.43592,0.14896,1.86046,2.91599,1.76631,1.41626,0.0010892,0.0010892,0.0010892
48,905.887,1.9191,3.07942,2.02045,1.32914,0.509,0.44424,0.44962,0.22169,0.52337,0.43866,0.43983,0.15787,1.76204,2.91252,1.79116,1.34788,0.0010694,0.0010694,0.0010694
49,930.633,1.93194,3.1295,2.06449,1.36983,0.54968,0.4052,0.43828,0.21738,0.54212,0.39963,0.42864,0.15684,1.78633,2.90617,1.80535,1.34545,0.0010496,0.0010496,0.0010496
50,954.063,1.89137,3.03872,2.10235,1.3196,0.56614,0.46811,0.48647,0.24361,0.55939,0.46253,0.47333,0.16483,1.73572,2.83905,1.71904,1.31736,0.0010298,0.0010298,0.0010298
51,977.262,1.8467,3.00875,1.89013,1.32632,0.63724,0.50558,0.54529,0.27046,0.62084,0.49257,0.51033,0.18254,1.71784,2.78398,1.65273,1.32351,0.00101,0.00101,0.00101
52,999.516,1.84262,2.97746,1.9963,1.31136,0.57908,0.46029,0.4925,0.25447,0.56939,0.44977,0.47232,0.17461,1.71218,2.84786,1.76794,1.30855,0.0009902,0.0009902,0.0009902
53,1019.46,1.81233,2.94552,1.94541,1.28224,0.61799,0.49071,0.53499,0.28239,0.61659,0.46468,0.51484,0.20542,1.64449,2.7919,1.57543,1.28069,0.0009704,0.0009704,0.0009704
54,1038.13,1.78109,2.91405,1.86691,1.28409,0.59401,0.52974,0.53509,0.27646,0.58245,0.51673,0.51419,0.19638,1.67964,2.83294,1.61056,1.31538,0.0009506,0.0009506,0.0009506
55,1056.73,1.77021,2.98365,1.95083,1.30676,0.6026,0.52706,0.53329,0.2752,0.58985,0.51591,0.50799,0.19348,1.65921,2.72516,1.63254,1.29459,0.0009308,0.0009308,0.0009308
56,1078.39,1.81584,2.92566,1.90507,1.33108,0.62056,0.54461,0.53304,0.28079,0.62179,0.54087,0.52944,0.19697,1.64963,2.73702,1.5989,1.28883,0.000911,0.000911,0.000911
57,1099.02,1.80245,2.91889,1.90862,1.3003,0.66163,0.52602,0.57014,0.30887,0.65801,0.5223,0.56154,0.21663,1.62063,2.72166,1.51396,1.27377,0.0008912,0.0008912,0.0008912
58,1119.95,1.7331,2.83857,1.75373,1.2576,0.6296,0.50186,0.55138,0.28022,0.59899,0.5223,0.53581,0.20427,1.66263,2.73922,1.58502,1.2743,0.0008714,0.0008714,0.0008714
59,1140.53,1.77666,2.90979,1.72653,1.30491,0.63483,0.54833,0.56288,0.29596,0.62622,0.54089,0.55355,0.22093,1.63271,2.66475,1.51455,1.26152,0.0008516,0.0008516,0.0008516
60,1161.28,1.71761,2.89318,1.74525,1.24206,0.69544,0.54833,0.6182,0.32397,0.68341,0.53717,0.60457,0.24773,1.64019,2.66523,1.47242,1.26738,0.0008318,0.0008318,0.0008318
61,1179.65,1.70498,2.87914,1.69573,1.24754,0.68695,0.52974,0.61106,0.32946,0.66767,0.51487,0.57408,0.21691,1.60306,2.6661,1.52515,1.25609,0.000812,0.000812,0.000812
62,1198.09,1.72841,2.84526,1.71387,1.27958,0.6463,0.60223,0.62489,0.33819,0.64031,0.59665,0.61252,0.25546,1.59229,2.61768,1.41261,1.2504,0.0007922,0.0007922,0.0007922
63,1216.3,1.72405,2.94301,1.72447,1.24484,0.70798,0.57249,0.63819,0.34822,0.69563,0.56076,0.62671,0.2578,1.59873,2.61862,1.40916,1.26204,0.0007724,0.0007724,0.0007724
64,1235.06,1.72072,2.82683,1.7078,1.25646,0.71636,0.58364,0.65416,0.36704,0.7099,0.56506,0.62682,0.25565,1.53064,2.54489,1.33779,1.21224,0.0007526,0.0007526,0.0007526
65,1253.24,1.71084,2.75772,1.68177,1.23165,0.70829,0.59108,0.64239,0.36392,0.69473,0.56134,0.61305,0.24462,1.54271,2.60738,1.463,1.2235,0.0007328,0.0007328,0.0007328
66,1271.49,1.71765,2.79796,1.72282,1.25977,0.73087,0.60967,0.68488,0.38676,0.71081,0.59294,0.66239,0.26924,1.5309,2.53029,1.29886,1.22009,0.000713,0.000713,0.000713
67,1290.32,1.69066,2.84195,1.58889,1.24711,0.74174,0.60325,0.68401,0.39623,0.74177,0.598,0.67807,0.28214,1.48895,2.54905,1.2915,1.19405,0.0006932,0.0006932,0.0006932
68,1308.54,1.61509,2.81391,1.51966,1.2104,0.70684,0.60054,0.68275,0.3728,0.70494,0.60037,0.67698,0.27906,1.59757,2.59782,1.286,1.24919,0.0006734,0.0006734,0.0006734
69,1326.77,1.62359,2.7293,1.57727,1.23687,0.77183,0.61616,0.71776,0.41424,0.76484,0.61059,0.70615,0.29296,1.46611,2.53894,1.25745,1.1914,0.0006536,0.0006536,0.0006536
70,1345.52,1.6375,2.73511,1.54307,1.21125,0.75041,0.63941,0.71516,0.41201,0.73941,0.64342,0.70851,0.29793,1.51134,2.51862,1.2458,1.19107,0.0006338,0.0006338,0.0006338
71,1363.86,1.62955,2.67966,1.5168,1.18786,0.76475,0.61027,0.7156,0.42158,0.76242,0.60841,0.70414,0.30601,1.46852,2.51306,1.21433,1.17813,0.000614,0.000614,0.000614
72,1382.34,1.61823,2.76345,1.54528,1.18352,0.78426,0.65242,0.73482,0.42906,0.77959,0.64312,0.72192,0.30967,1.42551,2.46589,1.18983,1.17096,0.0005942,0.0005942,0.0005942
73,1400.84,1.63412,2.76157,1.603,1.21735,0.79474,0.61524,0.7251,0.42868,0.78125,0.6171,0.71612,0.30986,1.43135,2.46722,1.19694,1.16934,0.0005744,0.0005744,0.0005744
74,1419.46,1.54633,2.64086,1.39528,1.16542,0.78812,0.66373,0.74597,0.44285,0.78928,0.66171,0.73414,0.31906,1.44019,2.4317,1.14343,1.16125,0.0005546,0.0005546,0.0005546
75,1437.72,1.57056,2.65743,1.61014,1.19936,0.74947,0.66727,0.72728,0.42199,0.74202,0.65056,0.71019,0.30969,1.46214,2.46818,1.27388,1.16688,0.0005348,0.0005348,0.0005348
76,1456.16,1.62148,2.62097,1.57799,1.21196,0.81091,0.62972,0.7484,0.45059,0.80449,0.62639,0.73384,0.31652,1.41553,2.42105,1.15408,1.1606,0.000515,0.000515,0.000515
77,1474.76,1.55121,2.63515,1.4532,1.18658,0.80407,0.63941,0.74064,0.44202,0.79538,0.64305,0.72507,0.31346,1.41883,2.45915,1.163,1.15535,0.0004952,0.0004952,0.0004952
78,1493.24,1.5429,2.60903,1.41781,1.16951,0.82198,0.6803,0.78433,0.48026,0.81607,0.66729,0.76785,0.33949,1.36389,2.37382,1.06618,1.13259,0.0004754,0.0004754,0.0004754
79,1511.58,1.52082,2.6103,1.33783,1.18763,0.7995,0.73792,0.786,0.47258,0.81116,0.72862,0.77453,0.341,1.38406,2.4206,1.06417,1.14147,0.0004556,0.0004556,0.0004556
80,1531.01,1.51479,2.61211,1.34809,1.16486,0.81888,0.69331,0.77402,0.46343,0.81967,0.69331,0.77023,0.34639,1.42197,2.41722,1.07782,1.15886,0.0004358,0.0004358,0.0004358
81,1549.61,1.49225,2.62254,1.40522,1.14737,0.82423,0.69703,0.78335,0.48298,0.81935,0.69131,0.76488,0.34317,1.36196,2.35345,1.07162,1.12266,0.000416,0.000416,0.000416
82,1568.49,1.53156,2.61211,1.39871,1.17927,0.82702,0.74645,0.80967,0.50509,0.82457,0.72677,0.79714,0.35527,1.33337,2.3651,1.00695,1.12084,0.0003962,0.0003962,0.0003962
83,1587.09,1.50971,2.62583,1.38561,1.14796,0.81366,0.71425,0.79154,0.47714,0.81651,0.70074,0.78156,0.35748,1.38892,2.3453,1.05007,1.14258,0.0003764,0.0003764,0.0003764
84,1605.29,1.53311,2.6477,1.41687,1.15866,0.82996,0.71671,0.8092,0.50254,0.81901,0.70446,0.79316,0.35585,1.31498,2.32271,1.00852,1.10225,0.0003566,0.0003566,0.0003566
85,1623.82,1.49172,2.49175,1.34061,1.14514,0.84202,0.73234,0.81158,0.51178,0.84311,0.71747,0.7953,0.36755,1.32173,2.29799,0.99614,1.10109,0.0003368,0.0003368,0.0003368
86,1642.05,1.53273,2.6213,1.34565,1.14577,0.82005,0.75389,0.82222,0.52902,0.81675,0.74907,0.81426,0.37109,1.28557,2.30908,0.96427,1.09031,0.000317,0.000317,0.000317
87,1660.27,1.43335,2.53355,1.23974,1.13647,0.81668,0.73698,0.82153,0.52696,0.8377,0.72305,0.81014,0.37989,1.29808,2.28019,0.96006,1.08933,0.0002972,0.0002972,0.0002972
88,1678.67,1.43571,2.58017,1.25299,1.11929,0.8512,0.72491,0.82793,0.52444,0.85306,0.72119,0.81957,0.37995,1.3106,2.26691,0.94351,1.10087,0.0002774,0.0002774,0.0002774
89,1696.87,1.47305,2.56176,1.30995,1.14733,0.86196,0.75836,0.83261,0.53402,0.8609,0.73623,0.81787,0.37953,1.27658,2.26951,0.95221,1.0838,0.0002576,0.0002576,0.0002576
90,1715.26,1.43815,2.56305,1.24279,1.10353,0.86607,0.75724,0.83768,0.5409,0.85969,0.75166,0.82459,0.37922,1.2598,2.26276,0.92447,1.07832,0.0002378,0.0002378,0.0002378
91,1748.03,1.47878,2.66761,1.30465,1.15718,0.84744,0.68959,0.80484,0.50017,0.79902,0.71679,0.78573,0.35709,1.36077,2.34537,1.04284,1.11845,0.000218,0.000218,0.000218
92,1765.63,1.39497,2.43876,1.20138,1.14755,0.85487,0.74454,0.83262,0.52545,0.84708,0.73606,0.81975,0.36413,1.3023,2.29234,0.96151,1.09879,0.0001982,0.0001982,0.0001982
93,1783.25,1.3893,2.4887,1.15135,1.14021,0.86486,0.71375,0.82612,0.5296,0.85228,0.71852,0.81072,0.36926,1.2859,2.27642,0.95781,1.08929,0.0001784,0.0001784,0.0001784
94,1800.95,1.40969,2.50292,1.2026,1.14059,0.85275,0.75348,0.83024,0.53909,0.84974,0.73048,0.81312,0.36763,1.26973,2.29595,0.95744,1.08039,0.0001586,0.0001586,0.0001586
95,1818.57,1.3865,2.46056,1.20108,1.13562,0.86984,0.74529,0.83872,0.5381,0.86539,0.73606,0.82441,0.37894,1.28566,2.27162,0.9218,1.08549,0.0001388,0.0001388,0.0001388
96,1836.49,1.39986,2.52006,1.22597,1.12776,0.86378,0.75432,0.84615,0.54925,0.86553,0.74179,0.83308,0.38473,1.2672,2.25113,0.90946,1.07867,0.000119,0.000119,0.000119
97,1854.25,1.2948,2.49768,1.09592,1.12632,0.85759,0.77233,0.84806,0.55451,0.84778,0.76208,0.82996,0.38141,1.2477,2.24075,0.91238,1.07358,9.92e-05,9.92e-05,9.92e-05
98,1871.9,1.31204,2.35432,1.10789,1.10429,0.87257,0.77637,0.8517,0.5568,0.8546,0.76952,0.8308,0.38936,1.25552,2.23343,0.89937,1.0769,7.94e-05,7.94e-05,7.94e-05
99,1890.09,1.32309,2.43358,1.09786,1.1184,0.86974,0.76394,0.85161,0.55443,0.85602,0.75836,0.83823,0.39117,1.2504,2.22527,0.8965,1.07086,5.96e-05,5.96e-05,5.96e-05
100,1907.92,1.31021,2.45992,1.04427,1.11426,0.86515,0.78702,0.8539,0.55784,0.86198,0.77776,0.84662,0.38719,1.23858,2.21999,0.89387,1.06599,3.98e-05,3.98e-05,3.98e-05
